image,collected_at,runs_ok,startup_cpu_p99_m,startup_cpu_p95_m,startup_cpu_max_m,startup_cpu_mean_m,startup_duration_s,startup_mem_peak_mb,startup_mem_mean_mb,startup_mem_at_end_mb
public.ecr.aws/docker/library/tomcat:9-jre17-temurin-jammy,2026-06-11T11:34:27.744365+00:00,1,2252.9,1898.0,2822.3,170.9,10.0,101.8,96.3,97.3
public.ecr.aws/elastic/elasticsearch:8.11.0,2026-06-11T11:34:34.038107+00:00,1,3164.3,2702.6,3242.3,1855.4,33.0,2712.0,1960.8,2711.5
public.ecr.aws/elastic/elasticsearch:8.9.0,2026-06-11T11:35:08.166997+00:00,1,2654.3,2343.9,3070.1,1741.4,35.0,2644.6,1797.7,2644.0
public.ecr.aws/docker/library/tomcat:10-jre17-temurin-jammy,2026-06-11T11:35:59.935954+00:00,1,2065.7,1975.5,2071.9,167.2,10.0,94.4,90.3,91.4
public.ecr.aws/elastic/elasticsearch:7.17.16,2026-06-11T11:37:03.927171+00:00,1,3058.9,2748.0,3529.8,1954.1,120.0,2442.9,2128.1,430.2
public.ecr.aws/docker/library/tomcat:10-jre21-temurin-jammy,2026-06-11T11:37:06.376037+00:00,1,2006.6,237.1,2013.4,88.5,10.0,81.9,75.0,71.3
public.ecr.aws/elastic/logstash:8.11.0,2026-06-11T11:37:38.138239+00:00,1,274.5,178.2,341.1,135.0,120.0,3.9,2.6,2.5
public.ecr.aws/docker/library/gradle:8-jdk21-alpine,2026-06-11T11:37:38.807768+00:00,1,2348.4,2281.8,2349.7,1851.2,120.0,401.3,273.4,242.3
public.ecr.aws/docker/library/rabbitmq:3-management-alpine,2026-06-11T11:38:12.124043+00:00,1,1359.9,1165.2,1627.0,691.7,10.0,162.6,131.4,158.6
public.ecr.aws/docker/library/neo4j:5-community,2026-06-11T11:38:27.916651+00:00,1,2353.5,2211.9,2720.5,1058.5,15.0,585.2,405.4,585.1
public.ecr.aws/docker/library/gradle:8-jdk17-alpine,2026-06-11T11:38:54.062435+00:00,1,2280.6,2118.8,2405.7,1951.5,120.0,438.0,308.7,432.1
public.ecr.aws/docker/library/maven:3.9-eclipse-temurin-21-alpine,2026-06-11T11:39:00.047411+00:00,1,2118.8,2109.3,2121.2,1996.2,120.0,97.7,69.0,25.6
