elapsed_s,phase,cpu_millicores
15.9,rampup,2.0
21.0,rampup,2.0
26.1,rampup,2.0
31.2,rampup,2.0
36.4,rampup,2.0
72.9,rampup,8.0
78.0,rampup,8.0
83.2,rampup,8.0
88.3,rampup,2.0
93.4,rampup,2.0
98.6,rampup,2.0
103.7,rampup,2.0
108.9,rampup,2.0
114.0,rampup,2.0
177.0,rampup,7.0
182.1,rampup,7.0
187.2,rampup,7.0
192.3,rampup,1.0
197.4,rampup,1.0
202.5,rampup,1.0
207.6,rampup,2.0
212.7,rampup,2.0
217.8,rampup,2.0
315.8,rampup,2.0
320.9,rampup,2.0
326.0,rampup,2.0
331.1,rampup,2.0
336.2,rampup,2.0
526.2,sustained,7.0
531.3,sustained,7.0
536.4,sustained,1.0
541.5,sustained,1.0
546.6,sustained,1.0
551.7,sustained,2.0
556.8,sustained,2.0
561.9,sustained,2.0
881.8,sustained,5.0
886.9,sustained,5.0
892.0,sustained,5.0
897.1,sustained,2.0
902.2,sustained,2.0
907.3,sustained,2.0
