elapsed_s,phase,cpu_millicores
0.1,rampup,2.0
5.2,rampup,0.0
10.3,rampup,0.0
15.4,rampup,0.0
20.5,rampup,0.0
25.6,rampup,0.0
30.8,rampup,0.0
35.9,rampup,0.0
41.0,sustained,0.0
46.1,sustained,0.0
51.2,sustained,0.0
56.3,sustained,0.0
61.4,sustained,0.0
66.5,sustained,0.0
71.6,sustained,0.0
76.7,sustained,0.0
81.8,sustained,0.0
86.9,sustained,0.0
92.0,sustained,0.0
97.1,sustained,0.0
102.2,sustained,0.0
107.3,sustained,0.0
112.4,sustained,0.0
117.5,sustained,0.0
122.6,sustained,0.0
127.7,sustained,0.0
132.8,sustained,0.0
137.9,sustained,0.0
143.0,sustained,0.0
148.1,sustained,0.0
153.2,sustained,0.0
158.3,sustained,0.0
163.4,sustained,0.0
168.5,sustained,0.0
173.6,burst,0.0
178.7,burst,0.0
183.8,burst,0.0
188.9,burst,0.0
194.0,burst,0.0
199.1,burst,0.0
204.2,burst,0.0
209.3,burst,0.0
214.4,burst,0.0
219.5,burst,0.0
224.6,burst,0.0
229.7,burst,0.0
234.8,burst,0.0
239.9,burst,0.0
245.0,burst,0.0
250.1,burst,0.0
255.3,burst,0.0
260.4,burst,0.0
265.5,burst,0.0
