elapsed_s,phase,cpu_millicores
0.1,rampup,9.0
5.2,rampup,0.0
10.3,rampup,0.0
15.4,rampup,0.0
20.5,rampup,3.0
25.7,rampup,3.0
30.8,rampup,3.0
35.9,rampup,3.0
41.0,sustained,3.0
46.1,sustained,3.0
51.2,sustained,12.0
56.3,sustained,12.0
61.4,sustained,12.0
66.5,sustained,13.0
71.6,sustained,13.0
76.8,sustained,13.0
81.9,sustained,12.0
87.0,sustained,12.0
92.1,sustained,12.0
97.2,sustained,12.0
102.3,sustained,12.0
107.4,sustained,12.0
112.5,sustained,12.0
117.6,sustained,12.0
122.7,sustained,12.0
127.8,sustained,12.0
132.9,sustained,12.0
138.1,sustained,12.0
143.2,sustained,12.0
148.3,sustained,12.0
153.4,sustained,11.0
158.5,sustained,11.0
163.6,sustained,11.0
168.7,sustained,12.0
173.8,burst,12.0
178.9,burst,12.0
184.1,burst,12.0
189.2,burst,12.0
194.3,burst,12.0
199.4,burst,20.0
204.5,burst,20.0
209.6,burst,20.0
214.8,burst,22.0
219.9,burst,22.0
225.0,burst,22.0
230.1,burst,22.0
235.2,burst,22.0
240.3,burst,22.0
245.4,burst,22.0
250.5,burst,22.0
255.6,burst,22.0
260.7,burst,10.0
265.8,burst,10.0
