elapsed_s,phase,cpu_millicores
0.2,rampup,0.0
5.3,rampup,0.0
10.4,rampup,0.0
15.6,rampup,0.0
20.7,rampup,0.0
25.8,rampup,0.0
31.0,rampup,0.0
36.1,sustained,0.0
41.2,sustained,0.0
46.4,sustained,0.0
51.5,sustained,0.0
56.7,sustained,0.0
61.8,sustained,0.0
67.0,sustained,0.0
72.1,sustained,0.0
77.2,sustained,0.0
82.4,sustained,0.0
87.5,sustained,0.0
92.7,sustained,0.0
97.8,sustained,0.0
102.9,sustained,0.0
108.1,sustained,0.0
113.2,sustained,0.0
118.3,sustained,0.0
123.5,sustained,0.0
128.6,sustained,0.0
133.8,sustained,0.0
138.9,sustained,0.0
144.0,sustained,0.0
149.1,sustained,0.0
154.2,sustained,0.0
159.3,sustained,0.0
164.4,sustained,0.0
169.5,sustained,0.0
174.6,burst,0.0
179.7,burst,0.0
184.8,burst,0.0
189.9,burst,0.0
195.0,burst,0.0
200.1,burst,0.0
205.2,burst,0.0
210.3,burst,0.0
215.4,burst,0.0
220.5,burst,0.0
225.6,burst,0.0
230.7,burst,0.0
235.8,burst,0.0
240.9,burst,0.0
246.0,burst,0.0
251.1,burst,0.0
256.2,burst,0.0
261.3,burst,0.0
266.4,burst,0.0
