elapsed_s,phase,cpu_millicores
0.1,rampup,0.0
5.2,rampup,0.0
10.3,rampup,0.0
15.5,rampup,0.0
20.6,rampup,0.0
25.8,rampup,0.0
30.9,rampup,0.0
36.0,rampup,0.0
41.1,sustained,0.0
46.2,sustained,0.0
51.3,sustained,0.0
56.5,sustained,0.0
61.6,sustained,0.0
66.7,sustained,0.0
71.9,sustained,0.0
77.0,sustained,0.0
82.1,sustained,0.0
87.2,sustained,0.0
92.3,sustained,0.0
97.5,sustained,0.0
102.6,sustained,0.0
107.7,sustained,0.0
112.8,sustained,0.0
118.0,sustained,0.0
123.1,sustained,0.0
128.2,sustained,0.0
133.4,sustained,0.0
138.5,sustained,0.0
143.7,sustained,0.0
148.8,sustained,0.0
153.9,sustained,0.0
159.1,sustained,0.0
164.2,sustained,0.0
169.4,sustained,0.0
174.6,burst,0.0
179.7,burst,0.0
184.8,burst,0.0
189.9,burst,0.0
195.1,burst,0.0
200.2,burst,0.0
205.4,burst,0.0
210.5,burst,0.0
215.6,burst,0.0
220.8,burst,0.0
225.9,burst,0.0
231.1,burst,0.0
236.2,burst,0.0
241.3,burst,0.0
246.5,burst,0.0
251.6,burst,0.0
256.7,burst,0.0
261.8,burst,0.0
266.9,burst,0.0
