elapsed_s,phase,cpu_millicores
0.1,rampup,546.0
5.2,rampup,71.0
10.3,rampup,71.0
15.4,rampup,71.0
20.5,rampup,231.0
25.6,rampup,231.0
30.7,rampup,231.0
35.8,rampup,541.0
40.9,sustained,541.0
46.1,sustained,789.0
51.2,sustained,789.0
56.3,sustained,789.0
61.4,sustained,882.0
66.5,sustained,882.0
71.6,sustained,882.0
76.7,sustained,898.0
81.8,sustained,898.0
86.9,sustained,898.0
92.0,sustained,904.0
97.1,sustained,904.0
102.2,sustained,904.0
107.4,sustained,874.0
112.5,sustained,874.0
117.6,sustained,874.0
122.7,sustained,930.0
127.8,sustained,930.0
132.9,sustained,930.0
138.0,sustained,884.0
143.1,sustained,884.0
148.2,sustained,884.0
153.3,sustained,899.0
158.4,sustained,899.0
163.5,sustained,899.0
168.6,sustained,898.0
173.7,burst,898.0
178.8,burst,898.0
183.9,burst,881.0
189.0,burst,881.0
194.1,burst,881.0
199.3,burst,1104.0
204.4,burst,1104.0
209.5,burst,1104.0
214.6,burst,1210.0
219.7,burst,1210.0
224.8,burst,1210.0
229.9,burst,1225.0
235.0,burst,1225.0
240.1,burst,1225.0
245.2,burst,1225.0
250.3,burst,1225.0
255.4,burst,1225.0
260.5,burst,1005.0
265.6,burst,1005.0
