elapsed_s,phase,cpu_millicores
0.1,rampup,0.0
5.2,rampup,0.0
10.3,rampup,0.0
15.4,rampup,0.0
20.5,rampup,0.0
25.6,rampup,0.0
30.7,rampup,0.0
35.8,rampup,0.0
40.9,rampup,0.0
46.0,rampup,0.0
51.1,rampup,0.0
56.2,rampup,0.0
61.3,rampup,0.0
66.4,rampup,0.0
71.5,rampup,0.0
76.6,rampup,0.0
81.7,rampup,0.0
86.8,rampup,0.0
91.9,rampup,0.0
97.0,rampup,0.0
102.1,rampup,0.0
107.2,rampup,0.0
112.3,rampup,0.0
117.4,rampup,0.0
122.5,rampup,0.0
127.6,rampup,0.0
132.7,rampup,0.0
137.8,rampup,0.0
142.9,rampup,0.0
148.0,rampup,0.0
153.1,rampup,0.0
158.2,rampup,0.0
163.3,rampup,0.0
168.4,rampup,0.0
173.5,rampup,0.0
178.6,rampup,0.0
183.7,rampup,0.0
188.8,rampup,0.0
193.9,rampup,0.0
199.0,rampup,0.0
204.2,rampup,0.0
209.3,rampup,0.0
214.4,rampup,0.0
219.5,rampup,0.0
224.6,rampup,0.0
229.7,rampup,0.0
234.8,rampup,0.0
239.9,rampup,0.0
245.0,rampup,0.0
250.1,rampup,0.0
255.2,rampup,0.0
260.3,rampup,0.0
265.4,rampup,0.0
270.5,rampup,0.0
275.6,rampup,0.0
280.7,rampup,0.0
285.8,rampup,0.0
290.9,rampup,0.0
296.0,rampup,0.0
301.1,rampup,0.0
306.2,rampup,0.0
311.3,rampup,0.0
316.4,rampup,0.0
321.5,rampup,0.0
326.6,rampup,0.0
331.7,rampup,0.0
336.8,rampup,0.0
341.9,rampup,0.0
347.0,rampup,0.0
352.1,rampup,0.0
357.2,rampup,0.0
362.3,rampup,0.0
367.4,rampup,0.0
372.5,rampup,0.0
377.6,rampup,0.0
382.7,rampup,0.0
387.8,rampup,0.0
392.9,rampup,0.0
398.0,rampup,0.0
403.1,rampup,0.0
408.2,rampup,0.0
413.3,rampup,0.0
418.4,rampup,0.0
423.5,rampup,0.0
428.6,rampup,0.0
433.7,rampup,0.0
438.8,rampup,0.0
443.9,rampup,0.0
449.0,rampup,0.0
454.1,rampup,0.0
459.2,rampup,0.0
464.3,rampup,0.0
469.4,rampup,0.0
474.5,rampup,0.0
479.6,rampup,0.0
484.7,sustained,0.0
489.8,sustained,0.0
494.9,sustained,0.0
500.0,sustained,0.0
505.1,sustained,0.0
510.2,sustained,0.0
515.3,sustained,0.0
520.4,sustained,0.0
525.5,sustained,0.0
530.6,sustained,0.0
535.7,sustained,0.0
540.8,sustained,0.0
545.9,sustained,0.0
551.0,sustained,0.0
556.1,sustained,0.0
561.2,sustained,0.0
566.3,sustained,0.0
571.4,sustained,0.0
576.5,sustained,0.0
581.6,sustained,0.0
586.7,sustained,0.0
591.8,sustained,0.0
596.9,sustained,0.0
602.0,sustained,0.0
607.1,sustained,0.0
612.2,sustained,0.0
617.3,sustained,0.0
622.4,sustained,0.0
627.5,sustained,0.0
632.7,sustained,0.0
637.8,sustained,0.0
642.8,sustained,0.0
648.0,sustained,0.0
653.1,sustained,0.0
658.2,sustained,0.0
663.3,sustained,0.0
668.4,sustained,0.0
673.5,sustained,0.0
678.6,sustained,0.0
683.7,sustained,0.0
688.8,sustained,0.0
693.9,sustained,0.0
699.0,sustained,0.0
704.1,sustained,0.0
709.2,sustained,0.0
714.3,sustained,0.0
719.4,sustained,0.0
724.5,sustained,0.0
729.6,sustained,0.0
734.7,sustained,0.0
739.8,sustained,0.0
744.9,sustained,0.0
750.0,sustained,0.0
755.1,sustained,0.0
760.2,sustained,0.0
765.3,sustained,0.0
770.4,sustained,0.0
775.5,sustained,0.0
