elapsed_s,phase,cpu_millicores
0.1,rampup,1.0
5.2,rampup,1.0
10.3,rampup,1.0
15.5,rampup,1.0
20.6,rampup,2.0
25.7,rampup,2.0
30.9,rampup,2.0
36.0,sustained,4.0
41.1,sustained,4.0
46.3,sustained,4.0
51.4,sustained,5.0
56.6,sustained,5.0
61.7,sustained,5.0
66.9,sustained,5.0
72.0,sustained,5.0
77.2,sustained,5.0
82.3,sustained,5.0
87.4,sustained,5.0
92.6,sustained,6.0
97.7,sustained,6.0
102.9,sustained,6.0
108.0,sustained,6.0
113.1,sustained,6.0
118.3,sustained,6.0
123.4,sustained,6.0
128.6,sustained,6.0
133.7,sustained,6.0
138.8,sustained,6.0
144.0,sustained,6.0
149.1,sustained,6.0
154.2,sustained,6.0
159.4,sustained,6.0
164.5,sustained,6.0
169.7,sustained,5.0
174.8,burst,5.0
179.9,burst,5.0
185.0,burst,8.0
190.1,burst,8.0
195.3,burst,8.0
200.4,burst,8.0
205.5,burst,8.0
210.6,burst,8.0
215.7,burst,10.0
220.9,burst,10.0
226.0,burst,10.0
231.1,burst,9.0
236.3,burst,9.0
241.4,burst,9.0
246.5,burst,10.0
251.6,burst,10.0
256.7,burst,10.0
261.8,burst,2.0
266.9,burst,2.0
