elapsed_s,phase,cpu_millicores
0.1,rampup,1.0
5.2,rampup,1.0
10.3,rampup,1.0
15.4,rampup,1.0
20.5,rampup,2.0
25.7,rampup,2.0
30.8,rampup,2.0
35.9,rampup,8.0
41.1,sustained,8.0
46.2,sustained,8.0
51.3,sustained,14.0
56.5,sustained,14.0
61.6,sustained,11.0
66.8,sustained,11.0
71.9,sustained,11.0
77.1,sustained,11.0
82.2,sustained,11.0
87.4,sustained,11.0
92.6,sustained,12.0
97.7,sustained,12.0
102.9,sustained,12.0
108.0,sustained,12.0
113.2,sustained,12.0
118.4,sustained,12.0
123.5,sustained,11.0
128.7,sustained,11.0
133.9,sustained,11.0
139.1,sustained,13.0
144.2,sustained,13.0
149.4,sustained,13.0
154.6,sustained,11.0
159.8,sustained,11.0
164.9,sustained,11.0
170.1,sustained,13.0
175.3,burst,13.0
180.5,burst,13.0
185.6,burst,13.0
190.8,burst,13.0
196.0,burst,13.0
201.2,burst,21.0
206.4,burst,21.0
211.5,burst,22.0
216.7,burst,22.0
221.9,burst,22.0
227.1,burst,21.0
232.3,burst,21.0
237.4,burst,21.0
242.6,burst,21.0
247.8,burst,21.0
253.0,burst,21.0
258.2,burst,10.0
263.3,burst,10.0
268.4,burst,10.0
