elapsed_s,phase,cpu_millicores
0.1,rampup,225.0
5.2,rampup,210.0
10.4,rampup,210.0
15.5,rampup,210.0
20.6,rampup,2538.0
25.7,rampup,2538.0
30.9,rampup,2538.0
36.0,rampup,2561.0
41.1,sustained,2561.0
46.2,sustained,2561.0
51.4,sustained,2399.0
56.5,sustained,2399.0
61.6,sustained,2399.0
66.7,sustained,2649.0
71.9,sustained,2649.0
77.0,sustained,2649.0
82.1,sustained,2657.0
87.2,sustained,2657.0
92.4,sustained,2657.0
97.5,sustained,2946.0
102.6,sustained,2946.0
107.8,sustained,2946.0
112.9,sustained,4473.0
118.1,sustained,4473.0
123.2,sustained,4492.0
128.3,sustained,4492.0
133.5,sustained,4492.0
138.6,sustained,4523.0
143.8,sustained,4523.0
148.9,sustained,4523.0
154.0,sustained,4526.0
159.2,sustained,4526.0
164.3,sustained,4526.0
169.4,sustained,4534.0
174.6,burst,4534.0
179.7,burst,4534.0
184.9,burst,4528.0
190.0,burst,4528.0
195.1,burst,4528.0
200.3,burst,4538.0
205.4,burst,4538.0
210.5,burst,4538.0
215.7,burst,4528.0
220.8,burst,4528.0
226.0,burst,4528.0
231.1,burst,4528.0
236.2,burst,4528.0
241.3,burst,4528.0
246.4,burst,4637.0
251.5,burst,4637.0
256.6,burst,4637.0
261.7,burst,66.0
266.8,burst,66.0
