elapsed_s,phase,cpu_millicores
0.1,rampup,2.0
5.3,rampup,1.0
10.4,rampup,1.0
15.6,rampup,1.0
20.7,rampup,2645.0
25.9,rampup,2645.0
31.0,rampup,2645.0
36.2,sustained,3752.0
41.4,sustained,3752.0
46.5,sustained,3752.0
51.6,sustained,3752.0
56.8,sustained,3752.0
61.9,sustained,3752.0
67.0,sustained,3762.0
72.2,sustained,3762.0
77.4,sustained,3754.0
82.5,sustained,3754.0
87.6,sustained,3754.0
92.8,sustained,3725.0
97.9,sustained,3725.0
103.1,sustained,3725.0
108.2,sustained,3711.0
113.4,sustained,3711.0
118.5,sustained,3711.0
123.6,sustained,3711.0
128.7,sustained,3711.0
133.9,sustained,3711.0
139.0,sustained,3755.0
144.2,sustained,3755.0
149.3,sustained,3755.0
154.4,sustained,3805.0
159.6,sustained,3805.0
164.7,sustained,3805.0
169.9,sustained,3752.0
175.0,burst,3752.0
180.2,burst,3752.0
185.3,burst,3726.0
190.5,burst,3726.0
195.6,burst,3726.0
200.7,burst,3763.0
205.9,burst,3763.0
211.0,burst,3763.0
216.2,burst,3608.0
221.3,burst,3608.0
226.4,burst,3608.0
231.6,burst,3750.0
236.7,burst,3750.0
241.8,burst,3750.0
246.9,burst,3736.0
252.0,burst,3736.0
257.2,burst,1178.0
262.3,burst,1178.0
267.4,burst,1178.0
