elapsed_s,phase,cpu_millicores
0.1,rampup,4.0
5.2,rampup,4.0
10.4,rampup,4.0
15.5,rampup,300.0
20.6,rampup,300.0
25.7,rampup,300.0
30.9,rampup,1391.0
36.0,sustained,1391.0
41.2,sustained,1450.0
46.4,sustained,1450.0
51.5,sustained,1450.0
56.7,sustained,1471.0
61.8,sustained,1471.0
67.0,sustained,1471.0
72.1,sustained,1482.0
77.3,sustained,1482.0
82.4,sustained,1482.0
87.6,sustained,1515.0
92.8,sustained,1515.0
97.9,sustained,1515.0
103.1,sustained,1649.0
108.3,sustained,1649.0
113.5,sustained,1649.0
118.6,sustained,1721.0
123.8,sustained,1721.0
129.0,sustained,1721.0
134.2,sustained,1888.0
139.3,sustained,1888.0
144.5,sustained,1888.0
149.7,sustained,1877.0
154.8,sustained,1877.0
160.0,sustained,1877.0
165.2,sustained,1891.0
170.4,sustained,1891.0
175.6,burst,1891.0
180.8,burst,1877.0
185.9,burst,1877.0
191.1,burst,1884.0
196.3,burst,1884.0
201.4,burst,1884.0
206.6,burst,1867.0
211.8,burst,1867.0
217.0,burst,1867.0
222.2,burst,1899.0
227.3,burst,1899.0
232.5,burst,1899.0
237.7,burst,1867.0
242.9,burst,1867.0
248.0,burst,1867.0
253.1,burst,1374.0
258.2,burst,1374.0
263.3,burst,1374.0
268.4,burst,3.0
