elapsed_s,phase,cpu_millicores
0.1,rampup,0.0
5.2,rampup,0.0
10.3,rampup,0.0
15.4,rampup,1.0
20.5,rampup,1.0
25.7,rampup,1.0
30.8,rampup,2.0
35.9,rampup,2.0
41.0,sustained,2.0
46.1,sustained,3.0
51.2,sustained,3.0
56.3,sustained,3.0
61.4,sustained,3.0
66.5,sustained,3.0
71.6,sustained,3.0
76.8,sustained,3.0
81.9,sustained,3.0
87.0,sustained,3.0
92.1,sustained,3.0
97.2,sustained,3.0
102.3,sustained,3.0
107.4,sustained,3.0
112.5,sustained,3.0
117.6,sustained,3.0
122.8,sustained,3.0
127.9,sustained,3.0
133.0,sustained,3.0
138.1,sustained,3.0
143.2,sustained,3.0
148.3,sustained,3.0
153.4,sustained,3.0
158.5,sustained,3.0
163.6,sustained,3.0
168.8,sustained,3.0
173.9,burst,3.0
179.0,burst,3.0
184.1,burst,3.0
189.2,burst,3.0
194.3,burst,3.0
199.4,burst,5.0
204.5,burst,5.0
209.6,burst,5.0
214.7,burst,5.0
219.8,burst,5.0
224.9,burst,5.0
230.0,burst,5.0
235.2,burst,5.0
240.3,burst,5.0
245.4,burst,5.0
250.5,burst,5.0
255.6,burst,3.0
260.7,burst,3.0
265.8,burst,3.0
