elapsed_s,phase,cpu_millicores
0.1,rampup,0.0
5.2,rampup,0.0
10.3,rampup,1.0
15.5,rampup,1.0
20.6,rampup,1.0
25.7,rampup,1.0
30.9,rampup,1.0
36.1,sustained,1.0
41.2,sustained,3.0
46.3,sustained,3.0
51.5,sustained,3.0
56.6,sustained,3.0
61.8,sustained,3.0
66.9,sustained,3.0
72.0,sustained,3.0
77.2,sustained,3.0
82.3,sustained,3.0
87.4,sustained,3.0
92.5,sustained,3.0
97.7,sustained,3.0
102.8,sustained,3.0
108.0,sustained,3.0
113.1,sustained,3.0
118.2,sustained,3.0
123.3,sustained,3.0
128.5,sustained,3.0
133.6,sustained,3.0
138.7,sustained,3.0
143.9,sustained,3.0
149.0,sustained,3.0
154.1,sustained,3.0
159.3,sustained,3.0
164.4,sustained,3.0
169.6,sustained,3.0
174.7,burst,3.0
179.8,burst,3.0
185.0,burst,3.0
190.1,burst,4.0
195.2,burst,4.0
200.4,burst,4.0
205.5,burst,5.0
210.6,burst,5.0
215.8,burst,5.0
220.9,burst,5.0
226.0,burst,5.0
231.1,burst,5.0
236.2,burst,5.0
241.4,burst,5.0
246.5,burst,5.0
251.7,burst,3.0
256.8,burst,3.0
261.9,burst,3.0
267.0,burst,3.0
