elapsed_s,phase,cpu_millicores
0.2,rampup,1.0
5.3,rampup,1.0
10.4,rampup,1.0
15.5,rampup,1.0
20.6,rampup,1.0
25.7,rampup,2.0
30.8,rampup,2.0
35.9,rampup,2.0
41.0,sustained,6.0
46.1,sustained,6.0
51.2,sustained,6.0
56.3,sustained,11.0
61.4,sustained,11.0
66.5,sustained,11.0
71.6,sustained,12.0
76.7,sustained,12.0
81.8,sustained,12.0
86.9,sustained,13.0
92.0,sustained,13.0
97.1,sustained,13.0
102.2,sustained,12.0
107.3,sustained,12.0
112.4,sustained,12.0
117.5,sustained,10.0
122.6,sustained,10.0
127.7,sustained,10.0
132.8,sustained,12.0
137.9,sustained,12.0
143.0,sustained,12.0
148.1,sustained,11.0
153.2,sustained,11.0
158.3,sustained,11.0
163.4,sustained,10.0
168.6,sustained,10.0
173.7,burst,10.0
178.8,burst,13.0
183.8,burst,13.0
189.0,burst,16.0
194.1,burst,16.0
199.2,burst,16.0
204.3,burst,24.0
209.4,burst,24.0
214.5,burst,24.0
219.6,burst,23.0
224.7,burst,23.0
229.8,burst,23.0
234.9,burst,22.0
240.0,burst,22.0
245.1,burst,22.0
250.2,burst,22.0
255.3,burst,22.0
260.4,burst,22.0
265.5,burst,6.0
