elapsed_s,phase,cpu_millicores
0.1,rampup,1.0
5.2,rampup,1.0
10.3,rampup,1.0
15.4,rampup,1.0
20.5,rampup,1.0
25.6,rampup,3.0
30.7,rampup,3.0
35.8,rampup,3.0
40.9,sustained,8.0
46.0,sustained,8.0
51.1,sustained,8.0
56.2,sustained,13.0
61.3,sustained,13.0
66.4,sustained,13.0
71.5,sustained,13.0
76.6,sustained,13.0
81.7,sustained,13.0
86.8,sustained,13.0
91.9,sustained,13.0
97.0,sustained,13.0
102.1,sustained,12.0
107.2,sustained,12.0
112.3,sustained,12.0
117.4,sustained,12.0
122.5,sustained,12.0
127.6,sustained,12.0
132.8,sustained,13.0
137.9,sustained,13.0
143.0,sustained,13.0
148.1,sustained,12.0
153.2,sustained,12.0
158.3,sustained,12.0
163.4,sustained,12.0
168.5,sustained,12.0
173.6,burst,12.0
178.7,burst,12.0
183.8,burst,12.0
188.9,burst,17.0
194.0,burst,17.0
199.1,burst,17.0
204.2,burst,23.0
209.3,burst,23.0
214.4,burst,23.0
219.5,burst,23.0
224.6,burst,23.0
229.7,burst,23.0
234.8,burst,23.0
239.9,burst,23.0
245.0,burst,23.0
250.1,burst,21.0
255.2,burst,21.0
260.3,burst,21.0
265.4,burst,6.0
