elapsed_s,phase,cpu_millicores
0.1,rampup,6.0
5.3,rampup,4.0
10.4,rampup,4.0
15.6,rampup,4.0
20.7,rampup,316.0
25.8,rampup,316.0
31.0,rampup,316.0
36.1,sustained,957.0
41.3,sustained,957.0
46.4,sustained,957.0
51.6,sustained,952.0
56.7,sustained,952.0
61.9,sustained,952.0
67.0,sustained,939.0
72.2,sustained,939.0
77.3,sustained,955.0
82.5,sustained,955.0
87.6,sustained,955.0
92.7,sustained,957.0
97.9,sustained,957.0
103.0,sustained,957.0
108.2,sustained,282.0
113.3,sustained,282.0
118.4,sustained,282.0
