elapsed_s,phase,cpu_millicores
0.1,rampup,0.0
5.2,rampup,0.0
10.4,rampup,0.0
15.5,rampup,0.0
20.6,rampup,0.0
25.7,rampup,0.0
30.9,rampup,0.0
36.0,rampup,0.0
41.1,sustained,0.0
46.3,sustained,0.0
51.4,sustained,0.0
56.5,sustained,0.0
61.7,sustained,0.0
66.8,sustained,0.0
71.9,sustained,0.0
77.1,sustained,0.0
82.2,sustained,0.0
87.4,sustained,0.0
92.5,sustained,0.0
97.6,sustained,0.0
102.8,sustained,0.0
107.9,sustained,0.0
113.1,sustained,0.0
118.2,sustained,0.0
123.3,sustained,0.0
128.5,sustained,0.0
133.6,sustained,0.0
138.7,sustained,0.0
143.9,sustained,0.0
149.0,sustained,0.0
154.2,sustained,0.0
159.3,sustained,0.0
164.4,sustained,0.0
169.6,sustained,0.0
174.7,burst,0.0
179.8,burst,0.0
185.0,burst,0.0
190.1,burst,0.0
195.3,burst,0.0
200.4,burst,0.0
205.5,burst,0.0
210.6,burst,0.0
215.7,burst,0.0
220.8,burst,0.0
225.9,burst,0.0
231.0,burst,0.0
236.1,burst,0.0
241.2,burst,0.0
246.3,burst,0.0
251.4,burst,0.0
256.5,burst,0.0
261.6,burst,0.0
266.7,burst,0.0
