elapsed_s,phase,cpu_millicores
0.1,rampup,0.0
5.2,rampup,0.0
10.3,rampup,0.0
15.4,rampup,0.0
20.5,rampup,0.0
25.6,rampup,0.0
30.7,rampup,0.0
35.8,rampup,0.0
40.9,sustained,0.0
46.0,sustained,0.0
51.1,sustained,0.0
56.2,sustained,0.0
61.4,sustained,0.0
66.5,sustained,0.0
71.6,sustained,0.0
76.7,sustained,0.0
81.8,sustained,0.0
86.9,sustained,0.0
92.0,sustained,0.0
97.1,sustained,0.0
102.2,sustained,0.0
107.3,sustained,0.0
112.5,sustained,0.0
117.6,sustained,0.0
122.7,sustained,0.0
127.8,sustained,0.0
133.0,sustained,0.0
138.1,sustained,0.0
143.2,sustained,0.0
148.3,sustained,0.0
153.5,sustained,0.0
158.6,sustained,0.0
163.7,sustained,0.0
168.8,sustained,0.0
173.9,burst,0.0
179.0,burst,0.0
184.2,burst,0.0
189.3,burst,0.0
194.4,burst,0.0
199.5,burst,0.0
204.7,burst,0.0
209.8,burst,0.0
214.9,burst,0.0
220.0,burst,0.0
225.2,burst,0.0
230.3,burst,0.0
235.4,burst,0.0
240.5,burst,0.0
245.7,burst,0.0
250.8,burst,0.0
255.9,burst,0.0
261.0,burst,0.0
266.1,burst,0.0
