elapsed_s,phase,cpu_millicores
0.1,rampup,2.0
5.3,rampup,2.0
10.4,rampup,2.0
15.5,rampup,18.0
20.6,rampup,18.0
25.7,rampup,18.0
30.9,rampup,27.0
36.0,sustained,27.0
41.2,sustained,27.0
46.3,sustained,35.0
51.5,sustained,35.0
56.6,sustained,35.0
61.8,sustained,35.0
66.9,sustained,35.0
72.0,sustained,35.0
77.2,sustained,28.0
82.3,sustained,28.0
87.5,sustained,28.0
92.6,sustained,19.0
97.7,sustained,19.0
102.9,sustained,19.0
108.0,sustained,14.0
113.2,sustained,14.0
118.3,sustained,14.0
123.5,sustained,14.0
128.6,sustained,14.0
133.7,sustained,14.0
138.9,sustained,12.0
144.1,sustained,12.0
149.2,sustained,12.0
154.4,sustained,21.0
159.5,sustained,21.0
164.6,sustained,17.0
169.8,sustained,17.0
174.9,burst,17.0
180.0,burst,26.0
185.2,burst,26.0
190.3,burst,26.0
195.5,burst,15.0
200.6,burst,15.0
205.8,burst,15.0
210.9,burst,19.0
216.1,burst,19.0
221.2,burst,19.0
226.3,burst,15.0
231.5,burst,15.0
236.6,burst,15.0
241.7,burst,54.0
246.8,burst,54.0
251.9,burst,54.0
257.0,burst,54.0
262.1,burst,54.0
267.2,burst,54.0
