elapsed_s,phase,cpu_millicores
0.1,rampup,18.0
5.2,rampup,0.0
10.3,rampup,0.0
15.4,rampup,0.0
20.6,rampup,2.0
25.7,rampup,2.0
30.8,rampup,2.0
35.9,rampup,10.0
41.0,sustained,10.0
46.1,sustained,10.0
51.2,sustained,19.0
56.3,sustained,19.0
61.5,sustained,19.0
66.6,sustained,19.0
71.7,sustained,19.0
76.8,sustained,19.0
81.9,sustained,19.0
87.0,sustained,19.0
92.1,sustained,18.0
97.2,sustained,18.0
102.3,sustained,18.0
107.4,sustained,18.0
112.5,sustained,18.0
117.6,sustained,18.0
122.8,sustained,17.0
127.9,sustained,17.0
133.0,sustained,17.0
138.1,sustained,18.0
143.2,sustained,18.0
148.3,sustained,18.0
153.4,sustained,17.0
158.6,sustained,17.0
163.7,sustained,17.0
168.8,sustained,18.0
173.9,burst,18.0
179.0,burst,18.0
184.1,burst,24.0
189.2,burst,24.0
194.3,burst,24.0
199.4,burst,32.0
204.6,burst,32.0
209.7,burst,32.0
214.8,burst,33.0
219.9,burst,33.0
225.0,burst,33.0
230.1,burst,33.0
235.2,burst,33.0
240.3,burst,33.0
245.4,burst,32.0
250.5,burst,32.0
255.6,burst,32.0
260.8,burst,5.0
265.9,burst,5.0
