elapsed_s,phase,cpu_millicores
0.1,rampup,1.0
5.2,rampup,1.0
10.3,rampup,1.0
15.4,rampup,1.0
20.5,rampup,1.0
25.6,rampup,1.0
30.8,rampup,5.0
35.9,rampup,5.0
41.0,sustained,5.0
46.2,sustained,10.0
51.3,sustained,10.0
56.4,sustained,9.0
61.6,sustained,9.0
66.7,sustained,9.0
71.9,sustained,8.0
77.0,sustained,8.0
82.2,sustained,8.0
87.3,sustained,8.0
92.4,sustained,8.0
97.5,sustained,8.0
102.7,sustained,9.0
107.8,sustained,9.0
113.0,sustained,9.0
118.1,sustained,8.0
123.2,sustained,8.0
128.4,sustained,8.0
133.5,sustained,8.0
138.6,sustained,8.0
143.8,sustained,8.0
148.9,sustained,8.0
154.0,sustained,8.0
159.2,sustained,8.0
164.3,sustained,8.0
169.5,sustained,8.0
174.6,burst,8.0
179.7,burst,10.0
184.8,burst,10.0
190.0,burst,10.0
195.1,burst,10.0
200.2,burst,10.0
205.3,burst,10.0
210.5,burst,15.0
215.6,burst,15.0
220.7,burst,15.0
225.9,burst,15.0
231.0,burst,15.0
236.1,burst,15.0
241.3,burst,14.0
246.4,burst,14.0
251.5,burst,12.0
256.6,burst,12.0
261.7,burst,12.0
266.8,burst,1.0
