elapsed_s,phase,cpu_millicores
0.1,rampup,1.0
5.3,rampup,1.0
10.4,rampup,1.0
15.6,rampup,1.0
20.7,rampup,11.0
25.9,rampup,11.0
31.0,rampup,11.0
36.2,sustained,14.0
41.3,sustained,14.0
46.5,sustained,14.0
51.6,sustained,20.0
56.8,sustained,20.0
61.9,sustained,20.0
67.1,sustained,19.0
72.2,sustained,19.0
77.4,sustained,19.0
82.6,sustained,20.0
87.7,sustained,20.0
92.9,sustained,20.0
98.0,sustained,19.0
103.2,sustained,19.0
108.4,sustained,19.0
113.6,sustained,20.0
118.7,sustained,20.0
123.9,sustained,20.0
129.0,sustained,20.0
134.2,sustained,20.0
139.4,sustained,20.0
144.5,sustained,20.0
149.7,sustained,20.0
154.9,sustained,20.0
160.0,sustained,20.0
165.2,sustained,20.0
170.4,sustained,20.0
175.5,burst,20.0
180.7,burst,20.0
185.8,burst,28.0
191.0,burst,28.0
196.2,burst,28.0
201.4,burst,36.0
206.5,burst,36.0
211.7,burst,36.0
216.9,burst,38.0
222.0,burst,38.0
227.1,burst,38.0
232.2,burst,36.0
237.3,burst,36.0
242.4,burst,36.0
247.5,burst,34.0
252.6,burst,34.0
257.7,burst,34.0
262.8,burst,5.0
267.9,burst,5.0
