elapsed_s,phase,cpu_millicores
0.1,rampup,4.0
5.2,rampup,4.0
10.3,rampup,4.0
15.4,rampup,4.0
20.5,rampup,4.0
25.6,rampup,4.0
30.7,rampup,6.0
35.8,rampup,6.0
40.9,rampup,6.0
46.0,rampup,8.0
51.1,rampup,8.0
56.2,rampup,6.0
61.3,rampup,6.0
66.4,rampup,6.0
71.5,rampup,6.0
76.6,rampup,6.0
81.7,rampup,6.0
86.9,rampup,6.0
92.0,rampup,6.0
97.1,rampup,6.0
102.2,rampup,5.0
107.3,rampup,5.0
112.4,rampup,5.0
117.5,rampup,5.0
122.6,rampup,5.0
127.7,rampup,5.0
132.8,rampup,3.0
137.9,rampup,3.0
143.0,rampup,3.0
148.1,rampup,4.0
153.2,rampup,4.0
158.3,rampup,4.0
163.4,rampup,4.0
168.5,rampup,4.0
173.6,rampup,4.0
178.7,rampup,5.0
183.8,rampup,5.0
188.9,rampup,5.0
194.0,rampup,5.0
199.1,rampup,5.0
204.2,rampup,5.0
209.3,rampup,3.0
214.4,rampup,3.0
219.5,rampup,3.0
224.6,rampup,3.0
229.8,rampup,3.0
234.9,rampup,3.0
240.0,rampup,5.0
245.1,rampup,5.0
250.2,rampup,5.0
255.3,rampup,4.0
260.4,rampup,4.0
265.5,rampup,4.0
270.6,rampup,3.0
275.7,rampup,3.0
280.8,rampup,3.0
285.9,rampup,3.0
291.0,rampup,3.0
296.1,rampup,3.0
