elapsed_s,phase,cpu_millicores
0.1,rampup,0.0
5.2,rampup,0.0
10.3,rampup,0.0
15.5,rampup,0.0
20.6,rampup,1.0
25.7,rampup,1.0
30.8,rampup,1.0
35.9,rampup,3.0
41.0,sustained,3.0
46.1,sustained,3.0
51.3,sustained,3.0
56.4,sustained,3.0
61.5,sustained,3.0
66.6,sustained,4.0
71.8,sustained,4.0
76.9,sustained,4.0
82.0,sustained,3.0
87.1,sustained,3.0
92.2,sustained,3.0
97.4,sustained,3.0
102.5,sustained,3.0
107.6,sustained,3.0
112.7,sustained,3.0
117.8,sustained,3.0
122.9,sustained,3.0
128.0,sustained,3.0
133.1,sustained,3.0
138.3,sustained,3.0
143.4,sustained,3.0
148.5,sustained,3.0
153.6,sustained,3.0
158.7,sustained,3.0
163.8,sustained,3.0
168.9,sustained,3.0
174.0,burst,3.0
179.1,burst,3.0
184.2,burst,4.0
189.3,burst,4.0
194.4,burst,4.0
199.5,burst,6.0
204.7,burst,6.0
209.8,burst,6.0
214.9,burst,6.0
220.0,burst,6.0
225.1,burst,6.0
230.2,burst,5.0
235.3,burst,5.0
240.4,burst,5.0
245.5,burst,5.0
250.6,burst,5.0
255.7,burst,5.0
260.8,burst,3.0
265.9,burst,3.0
