image,image_tag,image_repo,image_digest,layer_count,total_size_mb,avg_layer_size_mb,layer_size_std_mb,layer_size_max_mb,layer_size_min_mb,layer_size_skew,layer_size_cv,compressed_ratio,compressed_total_mb,lang_c,lang_java,lang_python,lang_go,lang_js,lang_other,lang_source,env_var_count,env_has_java,env_has_python,env_has_node,env_has_go,env_has_rust,env_path_segments,entrypoint_token_count,has_entrypoint,has_shell_cmd,cmd_token_count,exposed_port_count,exposes_http,exposes_db_port,exposes_jmx,architecture,arch_amd64,os,image_age_days,label_count,has_oci_labels,has_maintainer_label,repo_tag_count,has_latest_tag,working_dir_set,has_healthcheck,has_volumes,has_user,stop_signal,docker_version,startup_cpu_p50_m,startup_cpu_p95_m,startup_cpu_p99_m,startup_cpu_max_m,startup_cpu_mean_m,startup_sample_count,startup_duration_s,cpu_p50_millicores,cpu_p75_millicores,cpu_p90_millicores,cpu_p95_millicores,cpu_p99_millicores,cpu_max_millicores,cpu_mean_millicores,cpu_min_millicores,cpu_rampup_p50_m,cpu_rampup_p99_m,cpu_sustained_p50_m,cpu_sustained_p95_m,cpu_sustained_p99_m,cpu_burst_p50_m,cpu_burst_p99_m,cpu_request_recommended,cpu_limit_recommended,cpu_headroom_ratio,cpu_startup_ratio,sample_count,startup_sample_count,carbon_kg_co2eq,energy_wh,mean_power_w,load_duration_s,load_proto,benchmark_mode,worker_id,k6_rampup_vus,k6_sustained_vus,k6_burst_vus,collected_at
public.ecr.aws/elastic/elasticsearch:8.11.0,8.11.0,public.ecr.aws,sha256:4cd9ce4ccb04618617114da1df8240473bbd004329c1bc0252cebeec089b629e,10,705.92,70.59,199.1049,667.29,0.0,1.0627,2.8205,0.44,0.0,0.0,1.0,0.0,0.0,0.0,0.0,name,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,amd64,1,linux,942,20,1,0,892,0,0,0,0,0,SIGTERM,,2642.0,2642.0,2642.0,2642.0,2642.0,3,30.8,3.5,4.0,4.0,4.0,4.0,4.0,3.5,3.0,3.5,4.0,3.5,4.0,4.0,3.5,4.0,3.5,4.0,1.143,754.857,6,3,9.9126e-05,0.425434,50.03,30.6,http_es,smoke_5min,9,5,5,10,2026-06-04T06:46:19.462037
public.ecr.aws/docker/library/postgres:16-alpine,16-alpine,public.ecr.aws,sha256:16bc17c64a573ef34162af9298258d1aec548232985b33ed7b1eac33ba35c229,11,104.92,9.54,28.7333,100.34,0.0,0.9957,3.0125,0.37,0.0,1.0,0.0,0.0,0.0,0.0,0.0,name,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,amd64,1,linux,20,0,0,0,1043,1,0,0,0,0,SIGTERM,,90.0,90.0,90.0,90.0,90.0,3,30.7,3.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,3.0,5.0,3.0,5.0,5.0,3.0,5.0,3.0,5.0,1.667,30.0,6,3,9.91432e-05,0.425507,50.03,30.6,db_pgbench,smoke_5min,6,0,8,16,2026-06-04T06:46:19.456736
public.ecr.aws/docker/library/redis:7-alpine,7-alpine,public.ecr.aws,sha256:6ab0b6e7381779332f97b8ca76193e45b0756f38d4c0dcda72dbb3c32061ab99,7,15.5,2.21,4.1049,11.84,0.0,1.6181,1.8533,0.37,0.0,1.0,0.0,0.0,0.0,0.0,0.0,name,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,amd64,1,linux,27,0,0,0,708,1,0,0,0,0,SIGTERM,,6.0,6.0,6.0,6.0,5.5,4,30.6,899.0,945.0,992.0,992.0,992.0,992.0,609.5,4.0,4.0,403.0,899.0,992.0,992.0,899.0,992.0,899.0,992.0,1.103,0.007,19,4,0.0003496358,1.500583,55.71,97.0,redis,smoke_5min,1,0,10,20,2026-06-04T06:46:19.412803
public.ecr.aws/nginx/nginx:alpine,alpine,public.ecr.aws,sha256:4d1b820db5c9874f3e3a495dd2667d84c9a0963f51959d123cacbaebc5db7636,8,24.83,3.1,6.2632,19.34,0.0,1.4858,2.0183,0.37,0.0,1.0,0.0,0.0,0.0,0.0,0.0,name,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,amd64,1,linux,12,1,0,1,2112,1,0,0,0,0,SIGTERM,,6.0,6.0,6.0,6.0,6.0,3,30.7,3.0,4.0,5.0,5.0,5.0,5.0,3.1,0.0,1.0,2.0,3.0,3.0,3.0,4.0,5.0,3.0,5.0,1.667,2.0,53,3,0.0008757994,3.758796,50.03,270.5,http,smoke_5min,0,10,10,20,2026-06-04T06:46:19.412596
public.ecr.aws/docker/library/eclipse-temurin:21-jre-alpine,21-jre-alpine,public.ecr.aws,sha256:704db3c40204a44f471191446ddd9cda5d60dab40f0e15c6507b815ed897238b,5,70.6,14.12,19.2832,50.83,0.0,1.6233,1.3657,0.44,0.0,0.0,1.0,0.0,0.0,0.0,0.0,env,6,1,0,0,0,0,7,0,0,0,0,0,0,0,0,amd64,1,linux,27,0,0,0,3156,1,0,0,0,0,SIGTERM,,0.0,0.0,0.0,0.0,0.0,3,31.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,3,0.0008751709,3.756098,50.0,270.4,http,smoke_5min,2,10,10,20,2026-06-04T06:46:19.413591
public.ecr.aws/docker/library/alpine:3.19,3.19,public.ecr.aws,sha256:6baf43584bcb78f2e5847d1de515f23499913ac9f12bdf834811a3145eb11ca1,1,3.26,3.26,0.0,3.26,3.26,0.0,0.0,0.37,0.0,1.0,0.0,0.0,0.0,0.0,0.0,name,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,amd64,1,linux,238,0,0,0,168,1,0,0,0,0,SIGTERM,,2.0,2.0,2.0,2.0,2.0,2,30.9,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,53,2,0.0008752288,3.756347,50.0,270.5,stress_ng,smoke_5min,7,0,4,8,2026-06-04T06:46:19.458517
public.ecr.aws/docker/library/python:3.12-alpine,3.12-alpine,public.ecr.aws,sha256:236173eb74001afe2f60862de935b74fcbd00adfca247b2c27051a70a6a39a2d,4,17.23,4.31,5.2769,13.11,0.0,1.2775,1.2252,0.41,0.0,0.0,0.0,1.0,0.0,0.0,0.0,env,5,0,1,0,0,0,7,0,0,0,0,0,0,0,0,amd64,1,linux,49,0,0,0,2645,1,0,0,0,0,SIGTERM,,2.0,2.0,2.0,2.0,2.0,3,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,53,3,0.0008752969,3.756639,50.0,270.5,http,smoke_5min,3,10,10,20,2026-06-04T06:46:19.413740
public.ecr.aws/docker/library/node:20-alpine,20-alpine,public.ecr.aws,sha256:fb4cd12c85ee03686f6af5362a0b0d56d50c58a04632e6c0fb8363f609372293,4,46.12,11.53,17.1974,41.23,0.0,1.5848,1.4917,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,env,3,0,0,1,0,0,6,0,0,0,0,0,0,0,0,amd64,1,linux,49,0,0,0,5531,1,0,0,0,0,SIGTERM,,1.0,1.0,1.0,1.0,1.0,3,30.7,0.0,0.0,0.0,0.4,1.0,1.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,53,3,0.0008751253,3.755902,50.0,270.4,http,smoke_5min,4,10,10,20,2026-06-04T06:46:19.418138
public.ecr.aws/docker/library/ruby:3.3-alpine,3.3-alpine,public.ecr.aws,sha256:ba98f4a71edbf747c93b18723f7d91547054d4e9b1337c6d6ab8ca877158f3e2,4,37.57,9.39,14.2197,33.88,0.0,1.5928,1.514,0.37,0.0,1.0,0.0,0.0,0.0,0.0,0.0,name,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,amd64,1,linux,49,0,0,0,1077,1,0,0,0,0,SIGTERM,,1.0,1.0,1.0,1.0,0.8,4,30.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,53,4,0.0008753037,3.756668,50.0,270.5,http,smoke_5min,8,10,10,20,2026-06-04T06:46:19.462172
public.ecr.aws/docker/library/golang:1.22-alpine,1.22-alpine,public.ecr.aws,sha256:1699c10032ca2582ec89a24a1312d986a3f094aed3d5c1147b19880afe40e052,5,69.91,13.98,26.1181,66.15,0.0,1.5736,1.8681,0.35,0.0,0.0,0.0,0.0,1.0,0.0,0.0,env,4,0,0,0,1,0,8,0,0,0,0,0,0,0,0,amd64,1,linux,484,0,0,0,3136,1,0,0,0,0,SIGTERM,,1.0,1.0,1.0,1.0,1.0,2,30.7,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,53,2,0.0008751671,3.756082,50.0,270.4,http,smoke_5min,5,20,20,40,2026-06-04T06:46:19.418094
