image,image_tag,image_repo,image_digest,layer_count,total_size_mb,avg_layer_size_mb,layer_size_std_mb,layer_size_max_mb,layer_size_min_mb,layer_size_skew,layer_size_cv,compressed_ratio,compressed_total_mb,lang_c,lang_java,lang_python,lang_go,lang_js,lang_other,lang_source,env_var_count,env_has_java,env_has_python,env_has_node,env_has_go,env_has_rust,env_path_segments,entrypoint_token_count,has_entrypoint,has_shell_cmd,cmd_token_count,exposed_port_count,exposes_http,exposes_db_port,exposes_jmx,architecture,arch_amd64,os,image_age_days,label_count,has_oci_labels,has_maintainer_label,repo_tag_count,has_latest_tag,working_dir_set,has_healthcheck,has_volumes,has_user,stop_signal,docker_version,startup_cpu_p50_m,startup_cpu_p95_m,startup_cpu_p99_m,startup_cpu_max_m,startup_cpu_mean_m,startup_sample_count,startup_duration_s,cpu_p50_millicores,cpu_p75_millicores,cpu_p90_millicores,cpu_p95_millicores,cpu_p99_millicores,cpu_max_millicores,cpu_mean_millicores,cpu_min_millicores,cpu_rampup_p50_m,cpu_rampup_p99_m,cpu_sustained_p50_m,cpu_sustained_p95_m,cpu_sustained_p99_m,cpu_burst_p50_m,cpu_burst_p99_m,cpu_request_recommended,cpu_limit_recommended,cpu_headroom_ratio,cpu_startup_ratio,sample_count,startup_sample_count,carbon_kg_co2eq,energy_wh,mean_power_w,load_duration_s,load_proto,benchmark_mode,worker_id,k6_rampup_vus,k6_sustained_vus,k6_burst_vus,collected_at
public.ecr.aws/docker/library/haproxy:alpine,alpine,public.ecr.aws,sha256:5614ec450485ce1f9f8c25d231cf7fbab9326302a395f2355e05cbbc2dd7468b,6,19.52,3.25,5.4348,15.05,0.0,1.579,1.6701,0.37,0.0,1.0,0.0,0.0,0.0,0.0,0.0,name,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,amd64,1,linux,0,0,0,0,1942,1,0,0,0,0,SIGTERM,,2.0,2.0,2.0,2.0,2.0,2,30.9,0.5,1.0,1.5,1.8,2.0,2.0,0.7,0.0,0.5,2.0,0.5,1.8,2.0,0.5,2.0,0.5,2.0,4.0,4.0,6,2,9.96409e-05,0.427644,50.01,30.8,stress_ng,smoke_5min,3,0,4,4,2026-06-04T11:22:30.615995
public.ecr.aws/docker/library/redis:7-alpine,7-alpine,public.ecr.aws,sha256:6ab0b6e7381779332f97b8ca76193e45b0756f38d4c0dcda72dbb3c32061ab99,7,15.5,2.21,4.1049,11.84,0.0,1.6181,1.8533,0.37,0.0,1.0,0.0,0.0,0.0,0.0,0.0,name,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,amd64,1,linux,27,0,0,0,708,1,0,0,0,0,SIGTERM,,6.0,6.0,6.0,6.0,6.0,3,30.7,5.5,6.0,6.0,6.0,6.0,6.0,5.5,5.0,5.5,6.0,5.5,6.0,6.0,5.5,6.0,5.5,6.0,1.091,1.091,6,3,9.98915e-05,0.428719,50.05,30.8,redis,smoke_5min,5,0,10,10,2026-06-04T11:22:30.617716
public.ecr.aws/bitnami/keycloak:23,23,public.ecr.aws,sha256:3522ce6a093badf6d26ab4ea211f752762a78290075de1bfd57174b286f1f5a2,1,416.9,416.9,0.0,416.9,416.9,0.0,0.0,0.37,416.9,0.0,1.0,0.0,0.0,0.0,0.0,env,8,1,0,0,0,0,9,0,0,0,0,0,0,0,0,amd64,1,linux,794,9,1,0,1160,1,0,0,0,0,SIGTERM,,2.0,2.0,2.0,2.0,2.0,1,30.6,2.0,5.0,7.0,8.0,8.0,8.0,3.4,1.0,2.0,2.0,2.0,7.0,7.0,2.0,8.0,2.0,8.0,4.0,1.0,31,1,0.0008822446,3.786458,50.03,272.5,http,smoke_5min,9,10,10,20,2026-06-04T11:22:30.663575
public.ecr.aws/docker/library/varnish:alpine,alpine,public.ecr.aws,sha256:a84e1d4adb58b1f0594efbc95b9854c37040aafbbb990fa4889d6520a2feea91,6,87.52,14.59,30.9979,83.84,0.0,1.4116,2.1251,0.37,0.0,1.0,0.0,0.0,0.0,0.0,0.0,name,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,amd64,1,linux,126,0,0,0,120,1,0,0,0,0,SIGTERM,,84.0,84.0,84.0,84.0,84.0,3,30.7,8.0,10.0,14.8,15.0,15.0,15.0,8.6,1.0,1.0,5.0,8.0,9.8,10.0,12.0,15.0,8.0,15.0,1.875,10.5,53,3,0.0008811201,3.781631,50.08,271.8,http,smoke_5min,4,15,15,30,2026-06-04T11:22:30.616081
public.ecr.aws/docker/library/eclipse-temurin:21-jre-alpine,21-jre-alpine,public.ecr.aws,sha256:704db3c40204a44f471191446ddd9cda5d60dab40f0e15c6507b815ed897238b,5,70.6,14.12,19.2832,50.83,0.0,1.6233,1.3657,0.44,0.0,0.0,1.0,0.0,0.0,0.0,0.0,env,6,1,0,0,0,0,7,0,0,0,0,0,0,0,0,amd64,1,linux,27,0,0,0,3156,1,0,0,0,0,SIGTERM,,0.0,0.0,0.0,0.0,0.0,3,30.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,3,0.0008799328,3.776536,50.0,271.9,batch,smoke_5min,8,0,1,1,2026-06-04T11:22:30.660561
public.ecr.aws/docker/library/httpd:alpine,alpine,public.ecr.aws,sha256:0136c2d4462f3b8ecc92bea70efdfef4d06523999ae8d7aa533969dea6db4576,7,19.87,2.84,3.7843,10.56,0.0,2.2492,1.3334,0.37,0.0,1.0,0.0,0.0,0.0,0.0,0.0,name,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,amd64,1,linux,29,0,0,0,148,1,0,0,0,0,SIGTERM,,4.0,4.0,4.0,4.0,4.0,4,30.6,5.0,8.0,10.0,10.0,10.0,10.0,5.5,1.0,1.0,4.0,5.0,6.0,6.0,9.0,10.0,5.0,10.0,2.0,0.8,53,4,0.0008817446,3.784312,50.05,272.2,http,smoke_5min,1,10,10,20,2026-06-04T11:22:30.613765
public.ecr.aws/docker/library/memcached:alpine,alpine,public.ecr.aws,sha256:43a2e7f74aebfff0c9921f4d367299ced9eacaeaccdc8bb4bc122a4fba2cd909,6,5.68,0.95,1.4026,3.69,0.0,1.9173,1.4804,0.37,0.0,1.0,0.0,0.0,0.0,0.0,0.0,name,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,amd64,1,linux,15,0,0,0,197,1,0,0,0,0,SIGTERM,,2.0,2.0,2.0,2.0,1.8,4,30.6,3682.0,3703.0,3713.8,3719.8,3727.0,3727.0,3213.0,1.0,1.0,3017.0,3679.0,3701.0,3701.0,3704.0,3727.0,3679.0,3727.0,1.012,0.001,53,4,0.00141204,6.060258,80.12,272.3,memcached,smoke_5min,6,0,4,4,2026-06-04T11:22:30.658234
public.ecr.aws/docker/library/nginx:alpine,alpine,public.ecr.aws,sha256:8b1e78743a03dbb2c95171cc58639fef29abc8816598e27fb910ed2e621e589a,8,24.83,3.1,6.2632,19.34,0.0,1.4858,2.0183,0.37,0.0,1.0,0.0,0.0,0.0,0.0,0.0,name,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,amd64,1,linux,12,1,0,1,918,1,0,0,0,0,SIGTERM,,0.0,0.0,0.0,0.0,0.0,1,30.8,3.0,4.0,5.0,5.0,5.0,5.0,3.0,0.0,0.0,1.0,3.0,3.0,3.0,4.0,5.0,3.0,5.0,1.667,0.0,53,1,0.00088086,3.780515,50.03,272.0,http,smoke_5min,0,10,10,20,2026-06-04T11:22:30.612829
public.ecr.aws/docker/library/python:3.9-slim,3.9-slim,public.ecr.aws,sha256:2d97f6910b16bd338d3060f261f53f144965f755599aab1acda1e13cf1731b1b,4,42.87,10.72,11.4434,28.4,0.0,0.9126,1.0676,0.41,0.0,0.0,0.0,1.0,0.0,0.0,0.0,env,5,0,1,0,0,0,7,0,0,0,0,0,0,0,0,amd64,1,linux,215,0,0,0,2645,1,0,0,0,0,SIGTERM,,27.0,27.0,27.0,27.0,27.0,3,30.7,15.0,23.0,27.8,28.4,29.0,29.0,15.9,1.0,1.0,5.7,15.0,15.0,15.0,25.0,29.0,15.0,29.0,1.933,1.8,53,3,0.0008826131,3.788039,50.15,271.9,http,smoke_5min,2,5,5,10,2026-06-04T11:22:30.613785
public.ecr.aws/docker/library/tomcat:10-jre21-temurin-jammy,10-jre21-temurin-jammy,public.ecr.aws,sha256:bcf410fc64edff85adac66a09f6835cb657cd18acc696dcc45d4ef690e89fcf8,10,108.31,10.83,16.1919,50.66,0.0,1.9862,1.495,0.44,0.0,0.0,1.0,0.0,0.0,0.0,0.0,env,12,1,0,0,0,0,8,0,0,0,0,0,0,0,0,amd64,1,linux,19,1,1,0,8119,1,0,0,0,0,SIGTERM,,189.0,189.0,189.0,189.0,189.0,3,30.6,19.0,28.0,50.2,54.0,54.0,54.0,23.7,2.0,18.0,26.5,19.0,35.0,35.0,19.0,54.0,19.0,54.0,2.842,9.947,53,3,0.0008849167,3.797926,50.22,272.2,http,smoke_5min,7,10,10,20,2026-06-04T11:22:30.659011
