image,image_tag,image_repo,image_digest,layer_count,total_size_mb,avg_layer_size_mb,layer_size_std_mb,layer_size_max_mb,layer_size_min_mb,layer_size_skew,layer_size_cv,compressed_ratio,compressed_total_mb,lang_c,lang_java,lang_python,lang_go,lang_js,lang_other,lang_source,env_var_count,env_has_java,env_has_python,env_has_node,env_has_go,env_has_rust,env_path_segments,entrypoint_token_count,has_entrypoint,has_shell_cmd,cmd_token_count,exposed_port_count,exposes_http,exposes_db_port,exposes_jmx,architecture,arch_amd64,os,image_age_days,label_count,has_oci_labels,has_maintainer_label,repo_tag_count,has_latest_tag,working_dir_set,has_healthcheck,has_volumes,has_user,stop_signal,docker_version,startup_cpu_p50_m,startup_cpu_p95_m,startup_cpu_p99_m,startup_cpu_max_m,startup_cpu_mean_m,startup_sample_count,startup_duration_s,cpu_p50_millicores,cpu_p75_millicores,cpu_p90_millicores,cpu_p95_millicores,cpu_p99_millicores,cpu_max_millicores,cpu_mean_millicores,cpu_min_millicores,cpu_rampup_p50_m,cpu_rampup_p99_m,cpu_sustained_p50_m,cpu_sustained_p95_m,cpu_sustained_p99_m,cpu_burst_p50_m,cpu_burst_p99_m,cpu_request_recommended,cpu_limit_recommended,cpu_headroom_ratio,cpu_startup_ratio,sample_count,startup_sample_count,carbon_kg_co2eq,energy_wh,mean_power_w,load_duration_s,load_proto,benchmark_mode,worker_id,k6_rampup_vus,k6_sustained_vus,k6_burst_vus,collected_at
public.ecr.aws/docker/library/mongo:7,7,public.ecr.aws,sha256:4b5bf3c2bb7516164f6dcb44acce4fdcb428abfe5771a1128304a0f34ab9ff7c,8,279.63,34.95,81.4058,248.96,0.0,1.2723,2.329,0.35,0.0,0.0,0.0,0.0,1.0,0.0,0.0,name,9,0,0,0,0,0,6,0,0,0,0,0,0,0,0,amd64,1,linux,19,1,1,0,2755,1,0,0,0,0,SIGTERM,,298.0,298.0,298.0,298.0,298.0,4,30.7,4.0,151.0,298.0,298.0,298.0,298.0,88.0,4.0,4.0,298.0,4.0,298.0,298.0,4.0,298.0,4.0,298.0,74.5,74.5,7,4,0.0001179828,0.506364,50.83,35.9,db_mongo,smoke_5min,1,0,4,8,2026-06-04T06:58:56.660595
public.ecr.aws/docker/library/rabbitmq:3-management-alpine,3-management-alpine,public.ecr.aws,sha256:606d8c0d6b3c18d1da9afc53bc7cdb2a8d5486df91b5a9830e9e07626c9ae281,10,82.0,8.2,11.514,37.9,0.0,1.3693,1.4041,0.37,0.0,1.0,0.0,0.0,0.0,0.0,0.0,name,12,0,0,0,0,0,9,0,0,0,0,0,0,0,0,amd64,1,linux,184,0,0,0,980,1,0,0,0,0,SIGTERM,,4.0,4.0,4.0,4.0,4.0,1,30.9,3.0,3.8,4.0,4.0,4.0,4.0,3.3,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,1.333,1.333,6,1,9.94204e-05,0.426697,50.03,30.7,mq_rabbit,smoke_5min,7,0,4,8,2026-06-04T06:58:56.661482
public.ecr.aws/docker/library/traefik:v3,v3,public.ecr.aws,sha256:6b9cbca6fac42ab0075f5437d8dc1685cfd188626d8d515839ea94f8b6271c42,4,50.53,12.63,19.5556,46.42,0.0,1.6221,1.5479,0.35,0.0,0.0,0.0,0.0,1.0,0.0,0.0,name,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,amd64,1,linux,23,7,1,0,1547,1,0,0,0,0,SIGTERM,,0.0,0.0,0.0,0.0,0.0,3,31.4,17.0,19.0,32.8,33.0,33.0,33.0,17.8,0.0,1.0,9.0,17.0,18.0,18.0,31.0,33.0,17.0,33.0,1.941,0.0,53,3,0.0008799659,3.776678,50.17,271.0,http,smoke_5min,5,20,20,40,2026-06-04T06:56:50.024562
public.ecr.aws/docker/library/caddy:alpine,alpine,public.ecr.aws,sha256:77c07d5ebfa5be9fd6c820d2094ae662c9e7eeb9bf98346b7f639900263ee2a2,5,22.87,4.57,6.1357,16.49,0.0,0.9258,1.3417,0.35,0.0,1.0,0.0,0.0,0.0,0.0,0.0,name,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,amd64,1,linux,0,8,1,0,549,1,0,0,0,0,SIGTERM,,5.0,5.0,5.0,5.0,5.0,3,31.0,12.0,19.0,22.8,23.0,23.0,23.0,12.8,0.0,2.0,7.0,12.0,13.0,13.0,21.0,23.0,12.0,23.0,1.917,0.417,53,3,0.0008799379,3.776558,50.12,271.3,http,smoke_5min,4,20,20,40,2026-06-04T06:56:50.023014
public.ecr.aws/docker/library/rust:1-alpine,1-alpine,public.ecr.aws,sha256:66f48b19d6e88519e2e58bebe0d945779a6a4ca41c2db17db78c9569655b50ac,3,333.27,111.09,107.4872,257.95,3.69,1.1012,0.9676,0.35,0.0,0.0,0.0,0.0,1.0,0.0,0.0,env,4,0,0,0,0,1,7,0,0,0,0,0,0,0,0,amd64,1,linux,6,1,1,0,1246,1,0,0,0,0,SIGTERM,,0.0,0.0,0.0,0.0,0.0,2,30.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,2,0.0008773056,3.76526,50.0,271.1,batch,smoke_5min,9,0,1,2,2026-06-04T06:56:50.068977
public.ecr.aws/docker/library/ghost:alpine,alpine,public.ecr.aws,sha256:b03393a2565a72179b18a608f672a60f8e66c9417f7dee1625d0718bf0b320dc,10,227.04,22.7,47.0121,156.71,0.0,1.3822,2.0707,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,env,9,0,0,1,0,0,6,0,0,0,0,0,0,0,0,amd64,1,linux,2,0,0,0,1515,1,0,0,0,0,SIGTERM,,596.0,596.0,596.0,596.0,584.2,4,30.7,905.0,925.0,1196.2,1208.8,1210.0,1210.0,845.7,23.0,279.0,549.0,910.0,1024.0,1024.0,905.0,1210.0,910.0,1210.0,1.337,0.655,53,4,0.0010159288,4.360209,57.93,271.0,http,smoke_5min,0,10,10,20,2026-06-04T06:56:50.021039
public.ecr.aws/docker/library/influxdb:2,2,public.ecr.aws,sha256:c9acb506f536915c97ff71c971970ad9c2a38b2b8a0d54200ef0ef430f7a37f0,9,105.67,11.74,17.0938,53.89,0.0,1.4207,1.4559,0.37,0.0,0.0,0.0,0.0,0.0,0.0,1.0,name,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,amd64,1,linux,15,0,0,0,375,1,0,0,0,0,SIGTERM,,65.5,70.0,70.0,70.0,65.5,4,31.1,12.0,13.0,21.0,23.0,41.2,61.0,13.5,1.0,3.0,57.4,12.0,13.0,13.0,21.0,23.0,12.0,23.0,3.433,5.833,53,4,0.0008798829,3.776322,50.13,271.2,http,smoke_5min,3,10,10,20,2026-06-04T06:57:37.899220
public.ecr.aws/docker/library/alpine:3.19,3.19,public.ecr.aws,sha256:6baf43584bcb78f2e5847d1de515f23499913ac9f12bdf834811a3145eb11ca1,1,3.26,3.26,0.0,3.26,3.26,0.0,0.0,0.37,0.0,1.0,0.0,0.0,0.0,0.0,0.0,name,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,amd64,1,linux,238,0,0,0,168,1,0,0,0,0,SIGTERM,,1.0,1.0,1.0,1.0,1.0,2,30.8,4000.0,4000.0,4001.0,4001.0,4001.0,4001.0,3489.5,0.0,1201.0,3888.1,4000.0,4001.0,4001.0,4000.0,4001.0,4000.0,4001.0,1.0,0.0,53,2,0.0014540741,6.240661,82.71,271.6,stress_ng,smoke_5min,6,0,4,8,2026-06-04T06:58:56.650602
public.ecr.aws/docker/library/postgres:16-alpine,16-alpine,public.ecr.aws,sha256:16bc17c64a573ef34162af9298258d1aec548232985b33ed7b1eac33ba35c229,11,104.92,9.54,28.7333,100.34,0.0,0.9957,3.0125,0.37,0.0,1.0,0.0,0.0,0.0,0.0,0.0,name,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,amd64,1,linux,20,0,0,0,1043,1,0,0,0,0,SIGTERM,,1.0,1.0,1.0,1.0,1.0,2,31.1,1.0,2.5,3.0,3.0,3.0,3.0,1.7,1.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,1.0,6,2,9.95602e-05,0.427297,50.02,30.8,db_pgbench,smoke_5min,0,0,8,16,2026-06-04T07:03:06.742889
public.ecr.aws/docker/library/wordpress:php8.3-apache,php8.3-apache,public.ecr.aws,sha256:d32999a243ee5051babf8580ff22e7254129fe2f209f3d10aacdc81fdcd33959,24,256.45,10.69,23.7941,112.38,0.0,1.3471,2.2268,0.37,0.0,1.0,0.0,0.0,0.0,0.0,0.0,name,13,0,0,0,0,0,6,0,0,0,0,0,0,0,0,amd64,1,linux,13,0,0,0,4380,1,0,0,0,0,SIGTERM,,45.0,45.0,45.0,45.0,45.0,3,31.0,19.0,33.0,35.0,35.0,35.0,35.0,20.6,1.0,1.0,9.0,19.0,19.0,19.0,35.0,35.0,19.0,35.0,1.842,2.368,53,3,0.0008813558,3.782643,50.19,271.3,http,smoke_5min,8,10,10,20,2026-06-04T06:58:56.670441
public.ecr.aws/docker/library/mysql:8,8,public.ecr.aws,sha256:c36050afdca850f23cef85703f84c7531a5ae155a11b5ee1c60acb09937c4084,10,227.22,22.72,39.0786,126.27,0.0,1.7154,1.7199,0.37,0.0,1.0,0.0,0.0,0.0,0.0,0.0,name,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,amd64,1,linux,22,0,0,0,258,1,0,0,0,0,SIGTERM,,274.0,274.0,274.0,274.0,251.8,4,31.0,1664.0,1921.0,1924.0,1929.2,1937.0,1937.0,1534.3,185.0,461.0,1262.0,1482.0,1920.0,1920.0,1923.0,1937.0,1482.0,1937.0,1.164,0.185,53,4,0.0011330081,4.862696,64.38,271.9,db_sysbench,smoke_5min,5,0,8,16,2026-06-04T07:02:48.754206
public.ecr.aws/docker/library/mariadb:11,11,public.ecr.aws,sha256:be1ef4fe5f14589325c08a41c76334097ce66c86264b75e1d28342c742782a61,8,99.01,12.38,22.0995,65.6,0.0,1.6793,1.7856,0.37,0.0,1.0,0.0,0.0,0.0,0.0,0.0,name,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,amd64,1,linux,1,10,1,1,647,1,0,0,0,0,SIGTERM,,225.0,225.0,225.0,225.0,225.0,2,30.8,4492.0,4528.0,4537.2,4577.6,4637.0,4637.0,3390.3,66.0,1381.5,2559.4,2946.0,4526.0,4532.0,4528.0,4637.0,2946.0,4637.0,1.032,0.076,53,2,0.0014389269,6.175652,81.78,271.8,db_sysbench,smoke_5min,4,0,8,16,2026-06-04T07:02:49.928939
public.ecr.aws/docker/library/redmine:latest,latest,public.ecr.aws,sha256:be492fdb562fcc1490b481c795ac9b498e51f412bfd6499b325e2bef3f19d735,13,248.16,19.09,32.1316,105.05,0.0,1.6977,1.6832,0.37,0.0,0.0,0.0,0.0,0.0,0.0,1.0,name,15,0,0,0,0,0,7,0,0,0,0,0,0,0,0,amd64,1,linux,15,0,0,0,396,1,0,0,0,0,SIGTERM,,1.0,2.0,2.0,2.0,1.0,4,31.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,53,4,0.0008791398,3.773132,50.0,271.7,batch,smoke_5min,9,0,1,2,2026-06-04T07:02:59.508321
