image,image_tag,image_repo,image_digest,layer_count,total_size_mb,avg_layer_size_mb,layer_size_std_mb,layer_size_max_mb,layer_size_min_mb,layer_size_skew,layer_size_cv,compressed_ratio,compressed_total_mb,lang_c,lang_java,lang_python,lang_go,lang_js,lang_other,lang_source,env_var_count,env_has_java,env_has_python,env_has_node,env_has_go,env_has_rust,env_path_segments,entrypoint_token_count,has_entrypoint,has_shell_cmd,cmd_token_count,exposed_port_count,exposes_http,exposes_db_port,exposes_jmx,architecture,arch_amd64,os,image_age_days,label_count,has_oci_labels,has_maintainer_label,repo_tag_count,has_latest_tag,working_dir_set,has_healthcheck,has_volumes,has_user,stop_signal,docker_version,startup_cpu_p50_m,startup_cpu_p95_m,startup_cpu_p99_m,startup_cpu_max_m,startup_cpu_mean_m,startup_sample_count,startup_duration_s,cpu_p50_millicores,cpu_p75_millicores,cpu_p90_millicores,cpu_p95_millicores,cpu_p99_millicores,cpu_max_millicores,cpu_mean_millicores,cpu_min_millicores,cpu_rampup_p50_m,cpu_rampup_p99_m,cpu_sustained_p50_m,cpu_sustained_p95_m,cpu_sustained_p99_m,cpu_burst_p50_m,cpu_burst_p99_m,cpu_request_recommended,cpu_limit_recommended,cpu_headroom_ratio,cpu_startup_ratio,sample_count,startup_sample_count,carbon_kg_co2eq,energy_wh,mean_power_w,load_duration_s,load_proto,benchmark_mode,worker_id,k6_rampup_vus,k6_sustained_vus,k6_burst_vus,collected_at
public.ecr.aws/docker/library/mongo:7,7,public.ecr.aws,sha256:4b5bf3c2bb7516164f6dcb44acce4fdcb428abfe5771a1128304a0f34ab9ff7c,8,279.63,34.95,81.4058,248.96,0.0,1.2723,2.329,0.35,0.0,0.0,0.0,0.0,1.0,0.0,0.0,name,9,0,0,0,0,0,6,0,0,0,0,0,0,0,0,amd64,1,linux,19,1,1,0,2755,1,0,0,0,0,SIGTERM,,254.0,254.0,254.0,254.0,191.5,4,31.1,4.0,4.5,5.0,5.0,5.0,5.0,4.3,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,1.25,63.5,7,4,0.0001156853,0.496503,50.04,35.7,db_mongo,smoke_5min,9,0,4,4,2026-06-04T11:35:52.788831
public.ecr.aws/docker/library/postgres:16-alpine,16-alpine,public.ecr.aws,sha256:16bc17c64a573ef34162af9298258d1aec548232985b33ed7b1eac33ba35c229,11,104.92,9.54,28.7333,100.34,0.0,0.9957,3.0125,0.37,0.0,1.0,0.0,0.0,0.0,0.0,0.0,name,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,amd64,1,linux,20,0,0,0,1043,1,0,0,0,0,SIGTERM,,94.0,94.0,94.0,94.0,70.8,4,31.3,1.0,1.0,2.5,3.2,3.9,4.0,1.5,1.0,1.0,3.9,1.0,3.2,3.9,1.0,3.9,1.0,3.9,3.9,94.0,6,4,9.91594e-05,0.425577,50.01,30.6,db_pgbench,smoke_5min,8,0,8,8,2026-06-04T11:35:52.786711
public.ecr.aws/docker/library/ghost:alpine,alpine,public.ecr.aws,sha256:b03393a2565a72179b18a608f672a60f8e66c9417f7dee1625d0718bf0b320dc,10,227.04,22.7,47.0121,156.71,0.0,1.3822,2.0707,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,env,9,0,0,1,0,0,6,0,0,0,0,0,0,0,0,amd64,1,linux,2,0,0,0,1515,1,0,0,0,0,SIGTERM,,546.0,546.0,546.0,546.0,546.0,2,31.2,898.0,1005.0,1222.0,1225.0,1225.0,1225.0,855.7,71.0,231.0,545.6,891.0,930.0,930.0,1104.0,1225.0,891.0,1225.0,1.364,0.613,53,2,0.0010177204,4.367898,58.02,271.0,http,smoke_5min,0,10,10,20,2026-06-04T11:35:52.739091
public.ecr.aws/docker/library/rust:1-alpine,1-alpine,public.ecr.aws,sha256:66f48b19d6e88519e2e58bebe0d945779a6a4ca41c2db17db78c9569655b50ac,3,333.27,111.09,107.4872,257.95,3.69,1.1012,0.9676,0.35,0.0,0.0,0.0,0.0,0.0,0.0,1.0,env,4,0,0,0,0,1,7,0,0,0,0,0,0,0,0,amd64,1,linux,6,1,1,0,1246,1,0,0,0,0,SIGTERM,,1.0,1.0,1.0,1.0,1.0,3,30.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,53,3,0.0008763859,3.761313,50.0,270.8,batch,smoke_5min,7,0,1,1,2026-06-04T11:35:52.785182
public.ecr.aws/docker/library/traefik:v3,v3,public.ecr.aws,sha256:6b9cbca6fac42ab0075f5437d8dc1685cfd188626d8d515839ea94f8b6271c42,4,50.53,12.63,19.5556,46.42,0.0,1.6221,1.5479,0.35,0.0,0.0,0.0,0.0,1.0,0.0,0.0,name,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,amd64,1,linux,23,7,1,0,1547,1,0,0,0,0,SIGTERM,,18.0,18.0,18.0,18.0,18.0,2,31.2,18.0,24.0,32.8,33.0,33.0,33.0,18.8,0.0,2.0,17.4,18.0,19.0,19.0,32.0,33.0,18.0,33.0,1.833,1.0,53,2,0.0008796144,3.775169,50.18,270.9,http,smoke_5min,5,20,20,40,2026-06-04T11:35:52.744050
public.ecr.aws/docker/library/caddy:alpine,alpine,public.ecr.aws,sha256:77c07d5ebfa5be9fd6c820d2094ae662c9e7eeb9bf98346b7f639900263ee2a2,5,22.87,4.57,6.1357,16.49,0.0,0.9258,1.3417,0.35,0.0,1.0,0.0,0.0,0.0,0.0,0.0,name,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,amd64,1,linux,0,8,1,0,549,1,0,0,0,0,SIGTERM,,9.0,9.0,9.0,9.0,9.0,2,31.0,12.0,13.0,22.0,22.0,22.0,22.0,12.3,0.0,3.0,8.6,12.0,13.0,13.0,20.0,22.0,12.0,22.0,1.833,0.75,53,2,0.0008784491,3.770168,50.12,270.8,http,smoke_5min,4,20,20,40,2026-06-04T11:35:52.742528
public.ecr.aws/docker/library/nginx:1.27-alpine,1.27-alpine,public.ecr.aws,sha256:65645c7bb6a0661892a8b03b89d0743208a18dd2f3f17a54ef4b76fb8e2f2a10,8,19.99,2.5,4.7981,14.8,0.0,1.5615,1.9202,0.37,0.0,1.0,0.0,0.0,0.0,0.0,0.0,name,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,amd64,1,linux,413,1,0,1,918,1,0,0,0,0,SIGTERM,,5.0,5.0,5.0,5.0,5.0,3,30.6,3.0,3.0,5.0,5.0,5.0,5.0,3.1,0.0,1.0,2.0,3.0,3.0,3.0,5.0,5.0,3.0,5.0,1.667,1.667,53,3,0.0008767627,3.76293,50.03,270.8,http,smoke_5min,1,10,10,20,2026-06-04T11:35:52.740061
public.ecr.aws/docker/library/openjdk:21-slim,21-slim,public.ecr.aws,sha256:7072053847a8a05d7f3a14ebc778a90b38c50ce7e8f199382128a53385160688,3,226.44,75.48,84.9659,194.84,3.82,1.6844,1.1257,0.44,0.0,0.0,1.0,0.0,0.0,0.0,0.0,env,4,1,0,0,0,0,7,0,0,0,0,0,0,0,0,amd64,1,linux,988,0,0,0,12749,1,0,0,0,0,SIGTERM,20.10.23,0.0,0.0,0.0,0.0,0.0,3,30.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,3,0.0008760217,3.75975,50.0,270.7,batch,smoke_5min,6,0,1,1,2026-06-04T11:35:52.785150
public.ecr.aws/docker/library/node:20-alpine,20-alpine,public.ecr.aws,sha256:fb4cd12c85ee03686f6af5362a0b0d56d50c58a04632e6c0fb8363f609372293,4,46.12,11.53,17.1974,41.23,0.0,1.5848,1.4917,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,env,3,0,0,1,0,0,6,0,0,0,0,0,0,0,0,amd64,1,linux,49,0,0,0,5531,1,0,0,0,0,SIGTERM,,2.0,2.0,2.0,2.0,2.0,3,30.6,4.0,4.0,6.0,6.0,6.0,6.0,3.7,1.0,2.0,3.0,4.0,6.0,6.0,4.0,6.0,4.0,6.0,1.5,0.5,53,3,0.0008762236,3.760616,50.03,270.6,http,smoke_5min,2,5,5,10,2026-06-04T11:35:52.740182
public.ecr.aws/docker/library/node:18-alpine,18-alpine,public.ecr.aws,sha256:8d6421d663b4c28fd3ebc498332f249011d118945588d0a35cb9bc4b8ca09d9e,4,42.84,10.71,15.8977,38.16,0.0,1.5797,1.4845,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,env,3,0,0,1,0,0,6,0,0,0,0,0,0,0,0,amd64,1,linux,433,0,0,0,5531,1,0,0,0,0,SIGTERM,,7.0,7.0,7.0,7.0,5.2,4,30.6,3.0,4.0,5.0,5.4,6.0,6.0,3.3,0.0,1.0,2.0,3.0,5.0,5.0,4.0,6.0,3.0,6.0,2.0,2.333,53,4,0.0008760496,3.75987,50.03,270.5,http,smoke_5min,3,5,5,10,2026-06-04T11:35:52.741113
